10456.0,131287
11207.0,124735
11212.0,114702
10457.0,111551
11208.0,99941
10035.0,98297
10453.0,96848
11233.0,95433
10467.0,94461
10458.0,92053
10029.0,90984
10452.0,87509
11226.0,84918
11206.0,82514
11221.0,81855
10451.0,81176
10002.0,80019
10001.0,78885
10027.0,77283
11201.0,76841
10460.0,76627
10459.0,76125
10468.0,75150
11224.0,69697
10003.0,68797
10025.0,68194
10455.0,67862
10454.0,67430
10036.0,65365
10472.0,65159
11203.0,64654
11213.0,62959
10016.0,61942
10019.0,59605
10462.0,59384
11236.0,59194
11216.0,58825
10009.0,57828
11235.0,57262
11432.0,56538
10473.0,56512
10032.0,55757
10466.0,54821
11220.0,51606
11434.0,51089
11368.0,50134
10011.0,49438
11691.0,48449
10031.0,47684
10461.0,47634
10469.0,47241
11435.0,46742
10463.0,46316
11385.0,45719
11373.0,45493
10013.0,44884
11234.0,44442
10033.0,44215
11214.0,44031
11225.0,42965
10314.0,42718
10301.0,42453
11238.0,41054
10018.0,40484
11101.0,39757
11217.0,38551
11377.0,38550
11229.0,37819
11372.0,37652
10022.0,37443
11230.0,37390
11223.0,37333
11209.0,37040
11433.0,36801
11205.0,36705
10017.0,36450
11211.0,35729
10026.0,35577
11354.0,35515
11237.0,35375
10304.0,34573
11210.0,34368
11218.0,34304
10023.0,33507
10030.0,32893
11355.0,32504
10475.0,32481
10010.0,31573
10024.0,31520
11375.0,31347
11215.0,30925
10306.0,30618
11204.0,30609
10034.0,28436
10039.0,28292
10465.0,28189
11419.0,27404
10128.0,26671
11222.0,26070
10305.0,25768
10040.0,25725
11219.0,25592
10037.0,25511
11420.0,24765
11370.0,24020
11231.0,23602
11106.0,23367
11413.0,23367
11412.0,23300
10014.0,23285
10028.0,22564
10065.0,22183
11418.0,21569
10312.0,21519
10021.0,21392
10474.0,21185
10038.0,21069
10012.0,20846
11427.0,20630
11374.0,20110
11102.0,19418
10303.0,18491
11421.0,18207
11232.0,17770
11103.0,17557
11423.0,17431
10310.0,17156
11228.0,16992
11692.0,16875
11417.0,16869
11369.0,16857
11367.0,16831
11693.0,16062
11429.0,15792
11430.0,15589
11365.0,15410
10007.0,15407
11422.0,14759
11239.0,14539
11378.0,14424
11249.0,14317
11105.0,14241
10302.0,14211
11416.0,14031
10470.0,13364
11379.0,12949
11694.0,12743
11357.0,12735
11414.0,12719
10471.0,12601
10075.0,12547
10309.0,12479
11436.0,12226
11104.0,11720
11364.0,11176
11358.0,11121
10308.0,10691
11428.0,10227
11411.0,10148
10004.0,10064
11361.0,10006
11415.0,9524
11356.0,8156
11366.0,7882
11360.0,7685
11426.0,7345
11362.0,6606
11004.0,5900
10005.0,5123
10307.0,4541
10006.0,3779
10464.0,3639
11005.0,3329
10282.0,2555
11040.0,2406
11363.0,2365
10020.0,2204
10280.0,1917
11359.0,1820
11001.0,1414
10121.0,1408
11697.0,1109
10112.0,1067
10069.0,1023
11109.0,864
10281.0,755
10000.0,704
10119.0,643
10044.0,590
10165.0,469
10162.0,460
10153.0,409
10103.0,328
10041.0,308
10168.0,256
10111.0,227
10106.0,201
10278.0,191
10118.0,189
10107.0,159
11242.0,130
10154.0,106
10123.0,103
11241.0,99
10172.0,86
11695.0,78
10048.0,72
10271.0,68
10169.0,65
10803.0,61
10170.0,59
10120.0,51
10105.0,50
10129.0,47
11251.0,42
10122.0,32
10279.0,32
10110.0,31
10178.0,30
10155.0,26
10174.0,24
10055.0,22
10173.0,21
10179.0,19
10171.0,19
10167.0,19
10152.0,19
83.0,18
10151.0,14
10177.0,13
10176.0,13
10158.0,13
10115.0,12
10045.0,5
11371.0,4
10175.0,1
